
31 May 2012 10:01:47 AM

FEYNMAN_KAC_2D:
  C version.

  Program parameters:

  The calculation takes place inside a 2D ellipse.
  A rectangular grid of points will be defined.
  The solution will be estimated for those grid points
  that lie inside the ellipse.

  Each solution will be estimated by computing 10000 trajectories
  from the point to the boundary.

    (X/A)^2 + (Y/B)^2 = 1

  The ellipse parameters A, B are set to:

    A = 2.000000
    B = 1.000000
  Stepsize H = 0.0001

  X coordinate marked by 21 points
  Y coordinate marked by 11 points

     X        Y        W Approx     W Exact    Error    Ave Steps
   0.0000  -0.6000  5.1715e-01  5.2729e-01  1.0143e-02      5274
   0.0000  -0.5000  4.6994e-01  4.7237e-01  2.4257e-03      6037
   0.0000  -0.4000  4.2313e-01  4.3171e-01  8.5765e-03      6892
   0.0000  -0.3000  3.9905e-01  4.0252e-01  3.4729e-03      7292
   0.0000  -0.2000  3.7837e-01  3.8289e-01  4.5191e-03      7782
   0.0000  -0.1000  3.6533e-01  3.7158e-01  6.2493e-03      7989
   0.0000   0.0000  3.6446e-01  3.6788e-01  3.4147e-03      8101
   0.0000   0.1000  3.6718e-01  3.7158e-01  4.3924e-03      7970
   0.0000   0.2000  3.8249e-01  3.8289e-01  4.0674e-04      7644
   0.0000   0.3000  3.9579e-01  4.0252e-01  6.7294e-03      7350
   0.0000   0.4000  4.2507e-01  4.3171e-01  6.6445e-03      6821
   0.0000   0.5000  4.6627e-01  4.7237e-01  6.0975e-03      6123
   0.0000   0.6000  5.1755e-01  5.2729e-01  9.7399e-03      5299
   0.0000   0.7000  5.9199e-01  6.0050e-01  8.5081e-03      4095
   0.0000   0.8000  6.8728e-01  6.9768e-01  1.0396e-02      2964
   0.0000   0.9000  8.1274e-01  8.2696e-01  1.4218e-02      1683
   0.0000   1.0000  9.9287e-01  1.0000e+00  7.1316e-03        51
   0.4000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
   0.4000  -0.9000  8.5153e-01  8.6071e-01  9.1809e-03      1270
   0.4000  -0.8000  7.2059e-01  7.2615e-01  5.5569e-03      2602
   0.4000  -0.7000  6.2048e-01  6.2500e-01  4.5223e-03      3819
   0.4000  -0.6000  5.3983e-01  5.4881e-01  8.9807e-03      4927
   0.4000  -0.5000  4.8622e-01  4.9164e-01  5.4213e-03      5738
   0.4000  -0.4000  4.4841e-01  4.4933e-01  9.1792e-04      6394
   0.4000  -0.3000  4.1525e-01  4.1895e-01  3.7039e-03      7024
   0.4000  -0.2000  3.9477e-01  3.9852e-01  3.7461e-03      7385
   0.4000  -0.1000  3.8154e-01  3.8674e-01  5.2026e-03      7687
   0.4000   0.0000  3.8004e-01  3.8289e-01  2.8519e-03      7731
   0.4000   0.1000  3.8060e-01  3.8674e-01  6.1396e-03      7734
   0.4000   0.2000  3.9435e-01  3.9852e-01  4.1715e-03      7399
   0.4000   0.3000  4.1720e-01  4.1895e-01  1.7555e-03      6978
   0.4000   0.4000  4.4337e-01  4.4933e-01  5.9541e-03      6523
   0.4000   0.5000  4.8406e-01  4.9164e-01  7.5855e-03      5810
   0.4000   0.6000  5.4019e-01  5.4881e-01  8.6245e-03      4940
   0.4000   0.7000  6.1760e-01  6.2500e-01  7.4056e-03      3875
   0.4000   0.8000  7.1870e-01  7.2615e-01  7.4454e-03      2633
   0.4000   0.9000  8.4839e-01  8.6071e-01  1.2321e-02      1313
   0.4000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
   0.8000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
   0.8000  -0.9000  9.5954e-01  9.7045e-01  1.0901e-02       325
   0.8000  -0.8000  8.0839e-01  8.1873e-01  1.0343e-02      1682
   0.8000  -0.7000  6.9743e-01  7.0469e-01  7.2584e-03      2847
   0.8000  -0.6000  6.1508e-01  6.1878e-01  3.7035e-03      3867
   0.8000  -0.5000  5.4800e-01  5.5433e-01  6.3303e-03      4848
   0.8000  -0.4000  5.0073e-01  5.0662e-01  5.8827e-03      5550
   0.8000  -0.3000  4.6468e-01  4.7237e-01  7.6848e-03      6133
   0.8000  -0.2000  4.4469e-01  4.4933e-01  4.6425e-03      6499
   0.8000  -0.1000  4.3411e-01  4.3605e-01  1.9397e-03      6646
   0.8000   0.0000  4.3204e-01  4.3171e-01  3.2682e-04      6712
   0.8000   0.1000  4.3375e-01  4.3605e-01  2.3032e-03      6684
   0.8000   0.2000  4.4347e-01  4.4933e-01  5.8561e-03      6533
   0.8000   0.3000  4.6988e-01  4.7237e-01  2.4908e-03      6047
   0.8000   0.4000  5.0196e-01  5.0662e-01  4.6599e-03      5497
   0.8000   0.5000  5.5193e-01  5.5433e-01  2.3937e-03      4748
   0.8000   0.6000  6.1234e-01  6.1878e-01  6.4386e-03      3896
   0.8000   0.7000  6.9571e-01  7.0469e-01  8.9791e-03      2922
   0.8000   0.8000  8.0713e-01  8.1873e-01  1.1598e-02      1724
   0.8000   0.9000  9.6317e-01  9.7045e-01  7.2799e-03       301
   0.8000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
   1.2000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
   1.2000  -0.9000  1.0000e+00  1.0000e+00  0.0000e+00         0
   1.2000  -0.8000  9.8907e-01  1.0000e+00  1.0931e-02        91
   1.2000  -0.7000  8.5068e-01  8.6071e-01  1.0027e-02      1293
   1.2000  -0.6000  7.4516e-01  7.5578e-01  1.0621e-02      2357
   1.2000  -0.5000  6.6834e-01  6.7706e-01  8.7180e-03      3196
   1.2000  -0.4000  6.1631e-01  6.1878e-01  2.4770e-03      3861
   1.2000  -0.3000  5.6761e-01  5.7695e-01  9.3365e-03      4563
   1.2000  -0.2000  5.4528e-01  5.4881e-01  3.5320e-03      4853
   1.2000  -0.1000  5.2825e-01  5.3259e-01  4.3451e-03      5095
   1.2000   0.0000  5.2378e-01  5.2729e-01  3.5137e-03      5129
   1.2000   0.1000  5.2783e-01  5.3259e-01  4.7640e-03      5127
   1.2000   0.2000  5.4731e-01  5.4881e-01  1.5026e-03      4819
   1.2000   0.3000  5.7388e-01  5.7695e-01  3.0734e-03      4441
   1.2000   0.4000  6.1125e-01  6.1878e-01  7.5301e-03      3966
   1.2000   0.5000  6.7230e-01  6.7706e-01  4.7552e-03      3187
   1.2000   0.6000  7.4924e-01  7.5578e-01  6.5470e-03      2323
   1.2000   0.7000  8.5229e-01  8.6071e-01  8.4216e-03      1268
   1.2000   0.8000  9.8924e-01  1.0000e+00  1.0764e-02        86
   1.2000   0.9000  1.0000e+00  1.0000e+00  0.0000e+00         0
   1.2000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
   1.6000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
   1.6000  -0.9000  1.0000e+00  1.0000e+00  0.0000e+00         0
   1.6000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
   1.6000  -0.7000  1.0000e+00  1.0000e+00  0.0000e+00         0
   1.6000  -0.6000  9.9153e-01  1.0000e+00  8.4726e-03        69
   1.6000  -0.5000  8.8809e-01  8.9583e-01  7.7456e-03       951
   1.6000  -0.4000  8.1463e-01  8.1873e-01  4.1021e-03      1643
   1.6000  -0.3000  7.6105e-01  7.6338e-01  2.3256e-03      2167
   1.6000  -0.2000  7.2142e-01  7.2615e-01  4.7306e-03      2589
   1.6000  -0.1000  7.0122e-01  7.0469e-01  3.4640e-03      2822
   1.6000   0.0000  6.9231e-01  6.9768e-01  5.3704e-03      2921
   1.6000   0.1000  7.0006e-01  7.0469e-01  4.6318e-03      2857
   1.6000   0.2000  7.2034e-01  7.2615e-01  5.8119e-03      2606
   1.6000   0.3000  7.5935e-01  7.6338e-01  4.0274e-03      2221
   1.6000   0.4000  8.1080e-01  8.1873e-01  7.9284e-03      1714
   1.6000   0.5000  8.8797e-01  8.9583e-01  7.8672e-03       956
   1.6000   0.6000  9.9211e-01  1.0000e+00  7.8870e-03        64
   1.6000   0.7000  1.0000e+00  1.0000e+00  0.0000e+00         0
   1.6000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
   1.6000   0.9000  1.0000e+00  1.0000e+00  0.0000e+00         0
   1.6000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
   2.0000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
   2.0000  -0.9000  1.0000e+00  1.0000e+00  0.0000e+00         0
   2.0000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
   2.0000  -0.7000  1.0000e+00  1.0000e+00  0.0000e+00         0
   2.0000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
   2.0000  -0.5000  1.0000e+00  1.0000e+00  0.0000e+00         0
   2.0000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
   2.0000  -0.3000  1.0000e+00  1.0000e+00  0.0000e+00         0
   2.0000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
   2.0000  -0.1000  1.0000e+00  1.0000e+00  0.0000e+00         0
   2.0000   0.0000  9.9629e-01  1.0000e+00  3.7063e-03        26
   2.0000   0.1000  1.0000e+00  1.0000e+00  0.0000e+00         0
   2.0000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
   2.0000   0.3000  1.0000e+00  1.0000e+00  0.0000e+00         0
   2.0000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
   2.0000   0.5000  1.0000e+00  1.0000e+00  0.0000e+00         0
   2.0000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
   2.0000   0.7000  1.0000e+00  1.0000e+00  0.0000e+00         0
   2.0000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
   2.0000   0.9000  1.0000e+00  1.0000e+00  0.0000e+00         0
   2.0000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0

  RMS absolute error in solution = 6.684979e-03

FEYNMAN_KAC_2D:
  Normal end of execution.

31 May 2012 10:13:02 AM
