17 June 2014 08:30:02 AM

TOMS743_PRB
  C version
  Test the TOMS743 library.

  Number of bits in mantissa - 1 = 52

TEST01
  Compare WAPR(X) to stored values.

  Wp results for x near -exp(-1)

   Offset x    W(x) (WAPR)   W(x) (EXACT)   Digits Correct
  -9.00000000e-30  -7.11450489e+01  -7.11450489e+01       16
  -1.00000000e-29  -7.10381852e+01  -7.10381852e+01       16
  -1.00000000e-20  -4.99629843e+01  -4.99629843e+01       16
  -2.00000000e-20  -4.92555773e+01  -4.92555773e+01       16
  -3.00000000e-20  -4.88416735e+01  -4.88416735e+01       16
  -4.00000000e-20  -4.85479597e+01  -4.85479597e+01       16
  -5.00000000e-20  -4.83201118e+01  -4.83201118e+01       16
  -6.00000000e-20  -4.81339297e+01  -4.81339297e+01       16
  -7.00000000e-20  -4.79765031e+01  -4.79765031e+01       16
  -8.00000000e-20  -4.78401250e+01  -4.78401250e+01       16
  -9.00000000e-20  -4.77198242e+01  -4.77198242e+01       16
  -1.00000000e-19  -4.76122059e+01  -4.76122059e+01       16
  -1.00000000e-10  -2.62952388e+01  -2.62952388e+01       16
  -2.00000000e-10  -2.55742914e+01  -2.55742914e+01       16
  -3.00000000e-10  -2.51521833e+01  -2.51521833e+01       16
  -4.00000000e-10  -2.48525155e+01  -2.48525155e+01       16
  -5.00000000e-10  -2.46199710e+01  -2.46199710e+01       16
  -6.00000000e-10  -2.44298992e+01  -2.44298992e+01       16
  -7.00000000e-10  -2.42691466e+01  -2.42691466e+01       16
  -8.00000000e-10  -2.41298594e+01  -2.41298594e+01       16
  -9.00000000e-10  -2.40069706e+01  -2.40069706e+01       16
  -1.00000000e-09  -2.38970196e+01  -2.38970196e+01       16
  -1.00000000e-05  -1.41636008e+01  -1.41636008e+01       16
  -2.00000000e-05  -1.34162445e+01  -1.34162445e+01       16
  -3.00000000e-05  -1.29775328e+01  -1.29775328e+01       16
  -4.00000000e-05  -1.26655140e+01  -1.26655140e+01       16
  -5.00000000e-05  -1.24230404e+01  -1.24230404e+01       16
  -6.00000000e-05  -1.22246178e+01  -1.22246178e+01       16
  -7.00000000e-05  -1.20566300e+01  -1.20566300e+01       16
  -8.00000000e-05  -1.19109413e+01  -1.19109413e+01       16
  -9.00000000e-05  -1.17822992e+01  -1.17822992e+01       16
  -1.00000000e-04  -1.16671145e+01  -1.16671145e+01       16
  -2.00000000e-04  -1.09065574e+01  -1.09065574e+01       16
  -3.00000000e-04  -1.04592111e+01  -1.04592111e+01       16
  -4.00000000e-04  -1.01405924e+01  -1.01405924e+01       16
  -5.00000000e-04  -9.89269952e+00  -9.89269952e+00       16
  -6.00000000e-04  -9.68963797e+00  -9.68963797e+00       16
  -7.00000000e-04  -9.51756976e+00  -9.51756976e+00       16
  -8.00000000e-04  -9.36822217e+00  -9.36822217e+00       16
  -9.00000000e-04  -9.23625197e+00  -9.23625197e+00       16
  -1.00000000e-03  -9.11800647e+00  -9.11800647e+00       16
  -2.00000000e-03  -8.33508138e+00  -8.33508138e+00       16
  -3.00000000e-03  -7.87252138e+00  -7.87252138e+00       16
  -4.00000000e-03  -7.54194042e+00  -7.54194042e+00       16
  -5.00000000e-03  -7.28399714e+00  -7.28399714e+00       16
  -6.00000000e-03  -7.07216205e+00  -7.07216205e+00       16
  -7.00000000e-03  -6.89224149e+00  -6.89224149e+00       16
  -8.00000000e-03  -6.73574166e+00  -6.73574166e+00       16
  -9.00000000e-03  -6.59717173e+00  -6.59717173e+00       16
  -1.00000000e-02  -6.47277512e+00  -6.47277512e+00       16

TEST02
  Input X is the offset from -exp(-1).
  Both branches of the W function will be checked.

  Results for Wp(x):

   Offset x    W(x) (WAPR)     W(x) (BISECT)  Digits Correct

   1.00000000e-09  -9.99926269e-01  -9.99926269e-01       14
   2.00000000e-09  -9.99895729e-01  -9.99895729e-01       12
   3.00000000e-09  -9.99872296e-01  -9.99872296e-01       14
   4.00000000e-09  -9.99852541e-01  -9.99852541e-01       13
   5.00000000e-09  -9.99835137e-01  -9.99835137e-01       12
   6.00000000e-09  -9.99819403e-01  -9.99819403e-01       12
   7.00000000e-09  -9.99804933e-01  -9.99804933e-01       13
   8.00000000e-09  -9.99791466e-01  -9.99791466e-01       12
   9.00000000e-09  -9.99778817e-01  -9.99778817e-01       14
   1.00000000e-08  -9.99766854e-01  -9.99766854e-01       13
   1.10000000e-08  -9.99755475e-01  -9.99755475e-01       13

  Results for Wm(x):

   Offset x    W(x) (WAPR)     W(x) (BISECT)  Digits Correct
   1.00000000e-09  -1.00007373e+00  -1.00007373e+00       12
   2.00000000e-09  -1.00010428e+00  -1.00010428e+00       13
   3.00000000e-09  -1.00012771e+00  -1.00012771e+00       12
   4.00000000e-09  -1.00014747e+00  -1.00014747e+00       13
   5.00000000e-09  -1.00016488e+00  -1.00016488e+00       12
   6.00000000e-09  -1.00018062e+00  -1.00018062e+00       12
   7.00000000e-09  -1.00019509e+00  -1.00019509e+00       12
   8.00000000e-09  -1.00020856e+00  -1.00020856e+00       12
   9.00000000e-09  -1.00022122e+00  -1.00022122e+00       12
   1.00000000e-08  -1.00023318e+00  -1.00023318e+00       12
   1.10000000e-08  -1.00024456e+00  -1.00024456e+00       13

TEST03
  Input X is the argument.
  Wp has been selected (maximum x is > 0)

  Results for Wp(x):

     x     W(x) (WAPR)     W(x) (BISECT)  Digits Correct

   0.00000000e+00   0.00000000e+00   0.00000000e+00       16
   5.00000000e+18   3.93826444e+01   3.93826444e+01       16
   1.00000000e+19   4.00587692e+01   4.00587692e+01       16
   1.50000000e+19   4.04544063e+01   4.04544063e+01       16
   2.00000000e+19   4.07351721e+01   4.07351721e+01       16
   2.50000000e+19   4.09529828e+01   4.09529828e+01       16
   3.00000000e+19   4.11309677e+01   4.11309677e+01       16
   3.50000000e+19   4.12814661e+01   4.12814661e+01       16
   4.00000000e+19   4.14118442e+01   4.14118442e+01       16
   4.50000000e+19   4.15268539e+01   4.15268539e+01       16
   5.00000000e+19   4.16297399e+01   4.16297399e+01       16
   5.50000000e+19   4.17228167e+01   4.17228167e+01       16
   6.00000000e+19   4.18077935e+01   4.18077935e+01       16
   6.50000000e+19   4.18859681e+01   4.18859681e+01       16
   7.00000000e+19   4.19583495e+01   4.19583495e+01       16
   7.50000000e+19   4.20257376e+01   4.20257376e+01       16
